Agent,Grid Size,Number of Colors,Mean regenerations during init,Median regenerations during init,Mean Matches Occurred during init,Median Matches Occurred during init,Mean Deadlocks during init,Median Deadlocks during init,Mean Shuffles/Deadlocks Occurred per move,Median Shuffles/Deadlocks Occurred per move,Mean Shuffles/Deadlocks Occurred per game,Median Shuffles/Deadlocks Occurred per game,Mean score per Game Setting,Median score per Game Setting,Mean Valid Moves Made,Median Valid Moves Made,Mean Possible/Playable Moves per config,Median Possible/Playable Moves per config,Mean Avalanche Matches per game,Median Avalanche Matches per game,Mean deterministic score after first move,Median deterministic score after first move,Mean non-deterministic score after first move,Median non-deterministic score after first move
top_agent,"(9, 9)",18,0.57,0.0,0.12,0.0,0.45,0.0,0.34561,0.348,3.4561,3.48,31.980500000000003,31.810000000000002,10.0,10.0,15.030750000000001,14.797,1.1632,1.15,3.045,3.0,0.18369999999999997,0.06
top_agent,"(9, 9)",20,0.685,0.0,0.195,0.0,0.49,0.0,0.44878,0.456,4.4878,4.56,31.746100000000002,31.58,10.0,10.0,15.7411,15.979000000000001,1.1691,1.14,3.025,3.0,0.1107,0.0
top_agent,"(9, 9)",30,0.935,0.0,0.11,0.0,0.825,0.0,1.17292,1.176,11.7292,11.76,30.7703,30.72,10.0,10.0,17.532359999999997,17.62,1.0678999999999998,1.06,3.0,3.0,0.0641,0.0
top_agent,"(9, 9)",40,1.96,1.0,0.185,0.0,1.775,1.0,2.30996,2.314,23.0996,23.14,30.4783,30.38,10.0,10.0,18.00219,18.101,1.0585,1.04,3.01,3.0,0.050199999999999995,0.0
top_agent,"(9, 9)",50,3.05,2.0,0.14,0.0,2.91,2.0,4.0608,4.0,40.608000000000004,40.0,30.247699999999995,30.22,10.0,10.0,17.71306,17.564999999999998,0.9765,0.96,3.0,3.0,0.0105,0.0
top_agent,"(9, 9)",60,3.605,2.0,0.11,0.0,3.495,2.0,6.937525840639999,6.679,69.261,66.78999999999999,30.141,30.14,9.9893,10.0,18.03505676615,18.122169014999997,0.9861000000000001,0.98,3.015,3.0,0.006,0.0
top_agent,"(9, 9)",70,6.035,4.0,0.165,0.0,5.87,4.0,10.852142596045,10.11678049,106.72460000000001,100.97,29.837,30.06,9.900500000000001,9.99,17.8333006943,18.201999999999998,0.9623,0.96,3.005,3.0,0.0204,0.0
top_agent,"(9, 9)",80,7.535,5.0,0.14,0.0,7.395,5.0,16.644292381595,15.419112389999999,153.37579999999997,151.67000000000002,28.4987,29.46,9.4704,9.8,17.24948234107,17.139173865,0.8916,0.9,3.005,3.0,0.0027,0.0
top_agent,"(20, 20)",15,20.915,13.0,19.97,12.0,0.945,1.0,0.0,0.0,0.0,0.0,33.7201,33.15,10.0,10.0,16.26763,15.905999999999999,1.0525,0.74,3.03,3.0,0.1936,0.06
top_agent,"(20, 20)",20,4.76,3.0,3.95,2.0,0.81,1.0,0.01391,0.0,0.1391,0.0,32.8418,32.03,10.0,10.0,15.983370000000003,8.769,0.8168000000000001,0.51,3.045,3.0,0.15499999999999997,0.06
top_agent,"(20, 20)",25,2.145,1.0,1.48,0.0,0.665,1.0,0.06667999999999999,0.087,0.6668000000000001,0.87,32.0602,31.810000000000002,10.0,10.0,38.08491,45.379999999999995,0.7246000000000001,0.71,3.045,3.0,0.1285,0.0
top_agent,"(20, 20)",30,1.365,1.0,0.76,0.0,0.605,1.0,0.12373999999999999,0.125,1.2374,1.25,31.8393,31.64,10.0,10.0,53.55794,54.516000000000005,0.8684000000000001,0.84,3.02,3.0,0.07629999999999999,0.0
top_agent,"(20, 20)",35,0.92,0.0,0.415,0.0,0.505,0.0,0.18459,0.187,1.8459,1.87,31.465799999999998,31.28,10.0,10.0,62.15505999999999,62.574,0.8975,0.87,3.015,3.0,0.0567,0.0
top_agent,"(20, 20)",40,0.745,0.0,0.295,0.0,0.45,0.0,0.25359000000000004,0.26,2.5359,2.6,31.2068,31.04,10.0,10.0,69.74363,70.967,0.9301999999999999,0.92,3.015,3.0,0.0455,0.0
top_agent,"(20, 20)",45,0.555,0.0,0.19,0.0,0.365,0.0,0.33569000000000004,0.342,3.3569,3.42,31.0517,30.9,10.0,10.0,76.00955,77.528,0.9933999999999998,0.98,3.005,3.0,0.049300000000000004,0.0
top_agent,"(20, 20)",50,0.49,0.0,0.095,0.0,0.395,0.0,0.42590000000000006,0.429,4.2589999999999995,4.29,30.849899999999998,30.72,10.0,10.0,79.00963,78.54599999999999,0.9931,0.96,3.0,3.0,0.04020000000000001,0.0
top_agent,"(20, 20)",100,1.495,1.0,0.11,0.0,1.385,1.0,1.7460900000000001,1.749,17.460900000000002,17.490000000000002,30.222399999999997,30.2,10.0,10.0,86.78864,86.959,0.9789,0.98,3.005,3.0,0.0024,0.0
top_agent,"(20, 20)",150,4.335,3.0,0.145,0.0,4.19,3.0,4.06107,4.089,40.6107,40.89,30.094300000000004,30.08,10.0,10.0,88.37242999999998,88.31700000000001,0.9763,0.97,3.0,3.0,0.0006,0.0
top_agent,"(20, 20)",200,6.895,4.0,0.14,0.0,6.755,4.0,7.496076782075001,7.401,74.9526,74.01,30.0602,30.06,9.9991,10.0,90.60854484725,91.247,1.0072,1.02,3.0,3.0,0.0006,0.0
top_agent,"(20, 20)",250,12.015,8.0,0.115,0.0,11.9,8.0,11.941720241105,11.786000000000001,119.25300000000001,117.86,30.002799999999997,30.02,9.9875,10.0,88.20303343155,86.715,0.9723,0.96,3.0,3.0,0.0003,0.0
top_agent,"(20, 20)",300,18.666666666666668,12.5,0.11904761904761904,0.0,18.547619047619047,12.5,17.783900506904757,17.69019512,174.12714285714287,175.03,29.47404761904762,29.64,9.815952380952382,9.88,89.19596856559524,87.98848178,0.9614285714285713,0.96,3.0,3.0,0.0,0.0
top_agent,"(20, 20)",350,21.390625,14.5,0.109375,0.0,21.28125,14.5,23.9436122678125,23.576588775,222.10031250000003,224.05,28.04625,28.34,9.3440625,9.44,86.96878322796874,87.36277023,0.9081250000000001,0.94,3.0,3.0,0.0,0.0
top_agent,"(20, 20)",400,25.4,18.0,0.13333333333333333,0.0,25.266666666666666,18.0,32.132833633333334,32.00700935,250.08666666666662,248.02,24.020000000000003,24.96,8.001333333333333,8.32,88.691897306,91.80645161,0.8,0.78,3.0,3.0,0.0,0.0
bottom_agent,"(5, 5)",4,5.4,3.5,4.53,2.5,0.87,1.0,0.00068,0.0,0.0068000000000000005,0.0,70.14219999999999,69.65,10.0,10.0,7.28091,7.252,9.085,9.02,3.335,3.0,3.8194999999999997,2.78
bottom_agent,"(5, 5)",5,2.2,1.0,1.545,0.0,0.655,1.0,0.018070000000000003,0.016,0.1807,0.16,49.926899999999996,49.62,10.0,10.0,4.892869999999999,4.882,4.9999,4.91,3.17,3.0,1.9150999999999998,1.15
bottom_agent,"(5, 5)",10,0.715,0.0,0.15,0.0,0.565,0.0,0.58869,0.59,5.886900000000001,5.9,33.501599999999996,33.33,10.0,10.0,4.965120000000001,4.9190000000000005,1.6179999999999999,1.62,3.035,3.0,0.27380000000000004,0.12
bottom_agent,"(5, 5)",15,1.335,1.0,0.16,0.0,1.175,1.0,2.1872689697800003,2.1260000000000003,21.7326,21.229999999999997,31.2579,31.24,9.9498,10.0,5.170740688735,5.189942385,1.2061,1.2,3.01,3.0,0.1612,0.06
bottom_agent,"(5, 5)",20,2.26,1.0,0.17,0.0,2.09,1.0,9.890201099759999,8.821901431499999,76.6515,76.02,25.2477,26.16,8.1928,8.5,4.992064484025,4.998411276500001,0.8819999999999999,0.86,3.02,3.0,0.12179999999999999,0.0
bottom_agent,"(5, 5)",25,4.295,3.0,0.2,0.0,4.095,3.0,23.871410310749997,21.161275359999998,113.2415,113.31,16.2228,16.62,5.3206999999999995,5.48,4.236662411825,4.381730769000001,0.4841,0.46,3.02,3.0,0.05600000000000001,0.0
bottom_agent,"(10, 10)",10,3.52,2.0,2.68,1.0,0.84,1.0,0.026330000000000006,0.015,0.2633,0.15000000000000002,37.7994,37.33,10.0,10.0,9.22776,8.411,2.1797,2.09,3.07,3.0,0.8808,0.24
bottom_agent,"(10, 10)",15,0.97,0.5,0.46,0.0,0.51,0.5,0.17128,0.17099999999999999,1.7128000000000003,1.71,33.7046,33.19,10.0,10.0,16.59946,16.479,1.4864,1.36,3.04,3.0,0.326,0.06
bottom_agent,"(10, 10)",20,0.65,0.0,0.2,0.0,0.45,0.0,0.36002,0.367,3.6001999999999996,3.67,32.263000000000005,32.06,10.0,10.0,20.03181,20.317,1.3188,1.28,3.03,3.0,0.1925,0.0
bottom_agent,"(10, 10)",25,0.6,0.0,0.145,0.0,0.455,0.0,0.5722400000000001,0.577,5.7224,5.77,31.391399999999997,31.32,10.0,10.0,21.014470000000003,20.939999999999998,1.172,1.18,3.01,3.0,0.0685,0.0
bottom_agent,"(10, 10)",30,0.835,0.0,0.135,0.0,0.7,0.0,0.88574,0.879,8.8574,8.79,30.969499999999996,30.89,10.0,10.0,21.65275,21.534,1.1081,1.1,3.005,3.0,0.0434,0.0
bottom_agent,"(10, 10)",35,1.185,1.0,0.175,0.0,1.01,1.0,1.24943,1.2429999999999999,12.4943,12.43,30.6575,30.62,10.0,10.0,22.406729999999996,22.792,1.0989,1.1,3.0,3.0,0.020599999999999997,0.0
bottom_agent,"(10, 10)",40,1.345,1.0,0.17,0.0,1.175,1.0,1.65709,1.645,16.570899999999998,16.450000000000003,30.5898,30.52,10.0,10.0,22.603559999999998,22.513999999999996,1.088,1.07,3.01,3.0,0.0599,0.0
bottom_agent,"(10, 10)",45,1.955,1.0,0.17,0.0,1.785,1.0,2.17068,2.167,21.7068,21.67,30.412200000000002,30.4,10.0,10.0,22.475160000000002,22.53,1.0511,1.04,3.0,3.0,0.026400000000000007,0.0
bottom_agent,"(10, 10)",50,2.3,2.0,0.14,0.0,2.16,2.0,2.8165999999999998,2.772,28.166000000000004,27.72,30.3472,30.32,10.0,10.0,22.33034,22.42,1.0285000000000002,1.02,3.015,3.0,0.024700000000000003,0.0
bottom_agent,"(10, 10)",60,3.475,2.0,0.155,0.0,3.32,2.0,4.1687199999999995,4.136,41.687200000000004,41.36,30.2515,30.22,10.0,10.0,22.465500000000002,22.469,1.0214,1.02,3.0,3.0,0.023399999999999997,0.0
bottom_agent,"(10, 10)",70,4.695,3.0,0.16,0.0,4.535,3.0,6.32807374805,6.087,63.2635,60.870000000000005,30.152600000000003,30.14,9.9981,10.0,22.1592938181,22.118000000000002,0.9909,0.98,3.0,3.0,0.0048,0.0
bottom_agent,"(10, 10)",80,5.7,4.0,0.15,0.0,5.55,4.0,8.89978222016,8.533999999999999,88.68119999999999,85.34,30.0492,30.09,9.9776,10.0,21.97325094455,21.902686515,0.9713,0.96,3.0,3.0,0.0045,0.0
bottom_agent,"(10, 10)",90,7.52,5.0,0.185,0.0,7.335,5.0,13.402000488485001,12.744423935,130.3786,126.72999999999999,29.554699999999997,29.9,9.8218,9.95,21.987619287450002,22.016,0.9538,0.96,3.0,3.0,0.0027,0.0
bottom_agent,"(10, 10)",100,10.215,7.0,0.095,0.0,10.12,7.0,17.52157143825,16.611316430000002,165.8947,163.45,28.8996,29.54,9.6043,9.83,21.7458164525,21.701874715000002,0.9228000000000001,0.92,3.005,3.0,0.0165,0.0
bottom_agent,"(15, 15)",10,24.653846153846153,14.5,23.653846153846153,13.5,1.0,1.0,0.0,0.0,0.0,0.0,42.78923076923077,41.41,10.0,10.0,16.683307692307693,17.458,3.257692307692307,3.2199999999999998,3.0384615384615383,3.0,1.3384615384615384,0.54
bottom_agent,"(15, 15)",15,4.13,3.0,3.295,2.0,0.835,1.0,0.030140000000000004,0.008,0.3014,0.08,34.674400000000006,34.42,10.0,10.0,16.41364,10.699,1.3357999999999999,1.26,3.035,3.0,0.5783999999999999,0.06
bottom_agent,"(15, 15)",20,1.23,1.0,0.63,0.0,0.6,1.0,0.10749000000000003,0.11,1.0749000000000002,1.1,33.2883,32.86,10.0,10.0,30.338700000000003,31.153,1.2205000000000001,1.14,3.02,3.0,0.24020000000000002,0.06
bottom_agent,"(15, 15)",25,0.895,0.0,0.425,0.0,0.47,0.0,0.19649999999999998,0.201,1.965,2.01,32.5067,32.129999999999995,10.0,10.0,38.78067,39.172,1.2185,1.18,3.045,3.0,0.2335,0.0
bottom_agent,"(15, 15)",30,0.68,0.0,0.225,0.0,0.455,0.0,0.30267,0.312,3.0267,3.12,31.7771,31.54,10.0,10.0,43.419399999999996,43.632,1.1645,1.12,3.035,3.0,0.12290000000000001,0.0
bottom_agent,"(15, 15)",35,0.62,0.0,0.195,0.0,0.425,0.0,0.42133,0.424,4.2133,4.24,31.2485,31.12,10.0,10.0,45.71313,45.637,1.1022999999999998,1.08,3.025,3.0,0.06699999999999999,0.0
bottom_agent,"(15, 15)",40,0.655,0.0,0.155,0.0,0.5,0.0,0.54854,0.551,5.485399999999999,5.51,30.9515,30.869999999999997,10.0,10.0,47.50509,47.582,1.0777,1.06,3.01,3.0,0.024900000000000002,0.0
bottom_agent,"(15, 15)",45,0.605,0.0,0.09,0.0,0.515,0.0,0.7134299999999999,0.72,7.1343000000000005,7.2,30.8015,30.76,10.0,10.0,49.1196,49.461,1.0809,1.06,3.005,3.0,0.04650000000000001,0.0
bottom_agent,"(15, 15)",50,0.845,0.0,0.15,0.0,0.695,0.0,0.87436,0.8740000000000001,8.7436,8.74,30.6179,30.58,10.0,10.0,49.387280000000004,49.327,1.0595,1.06,3.0,3.0,0.0261,0.0
bottom_agent,"(15, 15)",100,3.41,2.0,0.09,0.0,3.32,2.0,3.75058,3.7199999999999998,37.505799999999994,37.2,30.1573,30.14,10.0,10.0,50.73423,50.599,1.0156,1.0,3.0,3.0,0.003,0.0
bottom_agent,"(15, 15)",150,7.87,5.0,0.09,0.0,7.78,5.0,9.158719526589998,8.908000000000001,91.5341,89.08,30.0642,30.06,9.995600000000001,10.0,50.11217729764999,50.475,0.9811,1.0,3.0,3.0,0.0013,0.0
bottom_agent,"(15, 15)",200,12.71,10.0,0.125,0.0,12.585,10.0,18.10505887035,17.483617705,175.36939999999998,172.79,29.3187,29.7,9.758099999999999,9.88,49.73797579575001,50.17621749,0.9554,0.96,3.005,3.0,0.0015,0.0
bottom_agent,"(15, 15)",250,15.0,10.0,0.0,0.0,15.0,10.0,29.645019181,30.527392300000002,252.30400000000003,259.40999999999997,25.832,26.07,8.606,8.69,48.369910551,48.74818512,0.826,0.8,3.0,3.0,0.0,0.0
bottom_agent,"(9, 9)",6,25.0,17.0,24.09090909090909,16.0,0.9090909090909091,1.0,0.0,0.0,0.0,0.0,55.92363636363636,55.9,10.0,10.0,15.3,15.936,6.234545454545454,6.1,3.5454545454545454,3.0,2.5890909090909093,1.1
bottom_agent,"(9, 9)",7,9.055,6.0,8.14,5.0,0.915,1.0,0.00101,0.0,0.0101,0.0,47.184799999999996,46.42,10.0,10.0,10.23065,10.199,4.3965000000000005,4.16,3.045,3.0,1.7960999999999998,0.84
bottom_agent,"(9, 9)",8,5.735,4.0,4.86,3.0,0.875,1.0,0.00787,0.004,0.0787,0.04,42.121900000000004,41.230000000000004,10.0,10.0,7.8488,7.634,3.2292999999999994,3.0,3.06,3.0,1.5501999999999998,0.6
bottom_agent,"(9, 9)",9,2.99,2.0,2.225,1.0,0.765,1.0,0.02505,0.013999999999999999,0.25050000000000006,0.14,39.0305,38.31,10.0,10.0,8.06894,7.557,2.4905,2.33,3.06,3.0,1.057,0.41000000000000003
bottom_agent,"(9, 9)",10,2.26,2.0,1.505,1.0,0.755,1.0,0.050690000000000006,0.046,0.5069,0.46,37.530100000000004,37.15,10.0,10.0,9.16368,8.735,2.218,2.13,3.08,3.0,0.8604999999999999,0.24
bottom_agent,"(9, 9)",12,1.495,1.0,0.905,0.0,0.59,1.0,0.11430000000000001,0.11800000000000001,1.143,1.18,35.025,34.41,10.0,10.0,11.68373,11.86,1.7032999999999998,1.58,3.045,3.0,0.6027,0.12
bottom_agent,"(9, 9)",14,0.93,0.0,0.43,0.0,0.5,0.0,0.19073,0.204,1.9073000000000002,2.04,33.763400000000004,33.41,10.0,10.0,13.710879999999998,13.843,1.5302,1.48,3.015,3.0,0.36269999999999997,0.06
bottom_agent,"(9, 9)",16,0.655,0.0,0.235,0.0,0.42,0.0,0.27444,0.275,2.7444,2.75,32.938199999999995,32.67,10.0,10.0,14.88328,15.053,1.4119,1.37,3.03,3.0,0.29350000000000004,0.06
bottom_agent,"(9, 9)",18,0.57,0.0,0.12,0.0,0.45,0.0,0.3711,0.373,3.7110000000000003,3.7300000000000004,32.3072,32.16,10.0,10.0,15.95757,16.16,1.3105000000000002,1.29,3.035,3.0,0.18170000000000003,0.0
bottom_agent,"(9, 9)",20,0.685,0.0,0.195,0.0,0.49,0.0,0.47406,0.479,4.7406,4.79,31.888500000000004,31.72,10.0,10.0,16.45465,16.396,1.2519,1.22,3.02,3.0,0.16700000000000004,0.06
bottom_agent,"(9, 9)",30,0.935,0.0,0.11,0.0,0.825,0.0,1.19408,1.2029999999999998,11.9408,12.03,30.858199999999997,30.8,10.0,10.0,17.94142,18.06,1.1155000000000002,1.1,3.0,3.0,0.07060000000000001,0.0
